State,PercentSmoker
Alabama,20.3
Alaska,17.4
Arizona,14.9
Arkansas,20.2
California,10
Colorado,13.5
Connecticut,12.1
Delaware,15.9
Florida,14.8
Georgia,16.3
Hawaii,12.3
Idaho,15.3
Illinois,14.5
Indiana,19.2
Iowa,16.4
Kansas,16.2
Kentucky,23.6
Louisiana,21.9
Maine,17.6
Maryland,12.7
Massachusetts,12.1
Michigan,18.7
Minnesota,14.6
Mississippi,20.4
Missouri,19.6
Montana,16.6
Nebraska,14.7
Nevada,15.7
New Hampshire,15.9
New Mexico,16
New York,12.7
North Carolina,18.5
North Dakota,17
Ohio,20.8
Oklahoma,18.9
Oregon,14.5
Pennsylvania,17.3
Rhode Island,13.3
South Carolina,17.6
South Dakota,18.3
Tennessee,19.9
Texas,14.7
Utah,7.9
Vermont,15.1
Virginia,14
Washington,12.7
West Virginia,23.8
Wisconsin,15.4
Wyoming,18.4
